txt_char_count,txt_word_count,txt_avg_word_length,txt_sentence_count,txt_words_per_sentence,txt_uppercase_ratio,txt_punctuation_count,txt_starts_with_verb,txt_ends_with_period,txt_has_parentheses,quant_number_count,quant_has_percentage,quant_has_dollar,quant_has_multiplier,quant_verb_count,quant_first_word_is_verb,quant_has_weak_language,quant_metric_density,struct_has_bullet,struct_comma_count,struct_has_list_structure,struct_and_count,struct_clause_count,struct_has_comparison,struct_is_experience,struct_is_project,struct_is_summary,struct_is_education,struct_is_skills,sem_num_keywords,sem_has_language,sem_has_framework,sem_has_database,sem_has_cloud,sem_has_concept,sem_tech_breadth,sem_token_count,clarity_score,clarity_has_action_verb,clarity_has_metrics,clarity_word_count,label,text
50,6,6.67,1,6.0,0.08,0,1,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0.38,1,0,6,1,Built  authentication  service  using  JWT  tokens
50,7,6.29,1,7.0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,7,0.12,0,0,7,1,Added Redis support to existing inventory tracking
48,8,5.12,1,8.0,0.0208,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0.12,0,0,8,1,Part of the team working on notification service
45,6,6.67,1,6.0,0.0889,0,1,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.38,1,0,6,1,Built authentication service using JWT tokens
51,5,8.6,1,5.0,0.0196,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0.12,0,0,5,1,Responsible  for  analytics  dashboard  maintenance
48,6,7.17,1,6.0,0.0208,0,1,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0.38,1,0,6,0,Built monitoring for order management automation
40,7,4.86,1,7.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0.12,0,0,7,1,Supported the team with API gateway work
64,8,7.12,3,2.67,0.0469,2,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0.12,0,0,8,1,Utilized cutting edge technologies including Node.js and Node.js
64,11,4.91,1,11.0,0.1406,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,11,0.12,0,0,11,0,Set up automated CI pipeline with GitHub Actions for API gateway
76,8,8.62,1,8.0,0.0132,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0.12,0,0,8,1,Employed industry standard frameworks for authentication service development
